Site;Date;Year;Season;Geology;Discharge;Discharge_deviation;Temperature;pH;DO;pN2O;N2O_concentration;delta_N2O;fN2O;pCH4;CH4_concentration;delta_CH4;fCH4;pCO2;CO2_concentration;delta_CO2;fCO2;TN;TDN;NO3-;NH4+;DIN;DON;DOC;TP;TDP;TPP;LU_Urban;LU_Agricultural;LC_Forest;LC_Wetland;LC_Water;LU_others
110;18-07-30;2018;Summer;Canadian.shield;13.78;-0.4;21.08;6.93;101.5;0.33;8.5;-0.4;-0.02;22.64;32.69;0.03;1.59;431.18;15.12;0.07;-5.62;451.11;400.58;99.73;12.25;111.98;288.6;7.04;15.1;6.76;8.34;1.25;0.3;89.28;0;3.88;5.32
128;18-07-30;2018;Summer;Canadian.shield;7.57;-0.43;20.3;6.99;104.2;0.35;9.15;0.03;0;56.49;82.95;0.08;1.35;701.14;25.19;9.2;229.54;438.4;421.88;58.51;50.06;108.57;313.31;6.81;12.69;4.14;8.55;4.1;0.16;80.73;0.04;9.16;5.8
140;18-07-30;2018;Summer;Canadian.shield;6.26;-0.43;21.06;6.97;98.7;0.33;8.48;-0.42;0;61.02;88.04;0.09;0.14;732.88;25.66;10.01;24.62;266.91;219.07;1.28;4.76;6.04;213.04;5.93;6.49;2.88;3.61;0.2;0;87.53;0.06;8.36;3.85
160;18-07-30;2018;Summer;Canadian.shield;0.65;-0.47;15.05;7.08;97.2;0.26;7.94;-2.85;0;14.24;23.24;0.02;0.02;875.16;36.66;17.91;23.42;484.74;452.86;20.03;3.62;23.65;429.21;11.02;17;13.28;3.72;0;0;97.83;0;1.04;1.13
163;18-07-30;2018;Summer;Canadian.shield;0.65;-0.43;8;7.46;96.2;0.29;10.89;-2.94;0;25.6;47.89;0.04;0.03;1044.07;52.83;29.14;25.41;292.87;284.12;206.87;3.38;210.25;73.87;1.15;3.39;3.08;0.3;0;0;100;0;0;0
0;18-11-22;2018;Fall;Saint-Lawrence.lowlands;27.46;-0.54;0.04;6.86;98;0.33;19.27;0.32;NA;76.91;198.96;0.19;NA;980.45;75.94;44.03;NA;1218.47;1180.47;639;277;916;264.47;5.82;30.37;16.34;14.03;0.81;73.69;18.79;0;0.89;5.94
4;18-11-22;2018;Fall;Saint-Lawrence.lowlands;25.26;-0.53;-0.02;6.87;104.1;0.31;18.22;-0.78;NA;68.68;178.01;0.17;NA;977.59;75.9;43.91;NA;1142.47;1096.11;563;294.5;857.5;238.61;5.66;30.84;18.95;11.89;4.73;62.54;27.86;0.04;1.91;2.91
18;18-11-22;2018;Fall;Saint-Lawrence.lowlands;24.38;-0.5;0.08;7.08;103.6;0.35;20.98;2.05;NA;230.23;594.84;0.59;NA;1188.77;91.93;60.07;NA;1036.45;986.67;441;319;760;226.67;5.63;34.63;19.76;14.88;1.29;8.04;79.37;0.27;5.23;5.8
40;18-11-22;2018;Fall;Saint-Lawrence.lowlands;18.8;-0.51;0;7.26;98.5;0.35;20.47;2.69;NA;208.03;538.83;0.53;NA;1199.48;93.05;61.09;NA;1105.23;1048.23;459;362.5;821.5;226.73;5.6;33.38;23.89;9.5;2.33;14.22;65.49;0.71;1.19;16.07
58;18-11-22;2018;Fall;Saint-Lawrence.lowlands;17.05;-0.5;-0.02;7.25;96.8;0.35;21.04;2.03;NA;113.57;294.36;0.29;NA;1266.97;98.37;66.38;NA;1088.51;987.81;388;322;710;277.81;5.28;32.47;15.37;17.1;4.8;15.98;64.88;0.51;2.78;11.04
70;18-11-22;2018;Fall;Saint-Lawrence.lowlands;14.85;-0.51;0.02;7.39;103;0.32;19.14;0.17;NA;54.25;140.44;0.14;NA;1077.34;83.51;51.57;NA;715.35;664.43;294;116;410;254.43;5.22;16.83;7.59;9.24;37.12;17.67;35.49;0;0.44;9.33
82;18-11-22;2018;Fall;Canadian.shield;14.36;-0.51;0.03;7.06;102.1;0.33;19.38;0.42;0;79.3;205.22;0.2;0.27;1012.47;78.45;46.53;95.03;597.93;645.05;255;138;393;252.05;5.35;11.95;8.38;3.57;9.94;5.03;61.87;0.44;8.66;14.06
92;18-11-21;2018;Fall;Canadian.shield;16.04;-0.48;0.02;7.71;97.5;0.34;20.05;1.08;NA;47.14;122.02;0.12;NA;962.94;74.64;42.71;NA;571.33;561.45;207;113;320;241.45;4.85;11.11;6.57;4.54;5.25;4.8;77.53;0;1.36;11.06
101;18-11-21;2018;Fall;Canadian.shield;15.3;-0.49;0;7.66;96.7;0.3;17.68;-1.31;NA;20.07;51.98;0.05;NA;706.81;54.83;22.87;NA;493.05;477.85;196;60.9;256.9;220.95;4.95;8.82;5.33;3.49;1.43;1.03;88.44;0.05;4.59;4.47
106;18-11-21;2018;Fall;Canadian.shield;12.11;-0.49;0.1;7.89;80.6;0.31;18.34;-0.56;NA;16.4;42.34;0.04;NA;898.62;69.44;37.6;NA;468.35;450.11;165;75;240;210.11;5.13;9.06;5.49;3.56;1.09;0.31;89.27;0.11;6.22;3
110;18-11-21;2018;Fall;Canadian.shield;9.81;-0.49;-0.2;7.87;86.7;0.28;16.72;-2.43;NA;5.66;14.75;0.01;NA;698.45;54.62;22.4;NA;505.21;502.17;183;97.5;280.5;221.67;4.9;9.27;6.86;2.41;1.25;0.3;89.28;0;3.88;5.32
